config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-envoy-permissive,64,8,1,1,37231.0,208.00,344.00,510.00,214.72,0,3.5704,3.7813,NA,6.0263
grpc-envoy-permissive,64,8,2,1,55628.0,273.00,551.00,810.00,287.50,0,4.4406,4.7991,NA,6.0266
grpc-envoy-permissive,64,8,4,1,64557.0,403.00,2016.00,3258.00,495.57,0,4.1709,4.9091,NA,6.0266
grpc-envoy-permissive,64,8,8,1,76735.0,675.00,3026.00,4437.00,833.93,0,4.0512,5.0125,NA,6.0273
grpc-envoy-permissive,64,8,16,1,93720.0,1175.00,3986.00,5462.00,1365.65,0,4.0914,5.1949,NA,6.0264
grpc-envoy-permissive,64,8,32,1,111782.0,2093.00,5401.00,7026.00,2290.07,0,4.1428,5.3501,NA,6.0267
grpc-envoy-permissive,1024,8,1,1,36609.0,212.00,337.00,483.00,218.38,0,3.6106,3.8045,NA,6.0262
grpc-envoy-permissive,1024,8,2,1,53207.0,285.00,578.00,833.00,300.59,0,4.3727,4.7724,NA,6.0260
grpc-envoy-permissive,1024,8,4,1,61284.0,418.00,2198.00,3670.00,522.04,0,4.1529,4.8701,NA,6.0263
grpc-envoy-permissive,1024,8,8,1,73785.0,691.00,3275.00,4682.00,867.26,0,4.0527,4.9885,NA,6.0259
grpc-envoy-permissive,1024,8,16,1,90145.0,1213.00,4329.00,6031.00,1419.87,0,4.0666,5.1654,NA,6.0268
grpc-envoy-permissive,1024,8,32,1,107729.0,2159.00,5726.00,7525.00,2376.20,0,4.1320,5.3272,NA,6.0270
grpc-envoy-permissive,8192,8,1,1,33439.0,233.00,354.00,428.00,239.12,0,3.6389,3.9047,NA,6.0267
grpc-envoy-permissive,8192,8,2,1,48470.0,314.00,621.00,923.00,330.00,0,4.3591,4.7660,NA,6.0264
